--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Mon Oct  9 12:58:14 2023
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 9644, 'username': None, 'name': 'mfemactl.exe', 'vms': 2.4765625}
{'pid': 9804, 'username': 'ADPROD\\khiray', 'name': 'Code.exe', 'vms': 153.87109375}
{'pid': 9996, 'username': None, 'name': 'CSFalconContainer.exe', 'vms': 108.84765625}
{'pid': 10028, 'username': None, 'name': 'DDVCollectorSvcApi.exe', 'vms': 2.171875}
{'pid': 10048, 'username': 'ADPROD\\khiray', 'name': 'jucheck.exe', 'vms': 4.19140625}
{'pid': 10080, 'username': 'ADPROD\\khiray', 'name': 'chrome.exe', 'vms': 85.5390625}
{'pid': 10192, 'username': None, 'name': 'Dell.TechHub.Diagnostics.SubAgent.exe', 'vms': 68.171875}
{'pid': 10236, 'username': 'ADPROD\\khiray', 'name': 'conhost.exe', 'vms': 6.08203125}
{'pid': 10468, 'username': None, 'name': 'mtxopswatproxy.exe', 'vms': 186.0078125}
{'pid': 10612, 'username': 'ADPROD\\khiray', 'name': 'chrome.exe', 'vms': 29.28125}
{'pid': 10644, 'username': None, 'name': 'conhost.exe', 'vms': 6.03125}
{'pid': 10648, 'username': None, 'name': 'unsecapp.exe', 'vms': 2.23046875}
{'pid': 11004, 'username': None, 'name': 'CSFalconContainer.exe', 'vms': 30.25390625}
{'pid': 11028, 'username': None, 'name': 'CSFalconContainer.exe', 'vms': 1.5078125}
{'pid': 11108, 'username': None, 'name': 'svchost.exe', 'vms': 3.6015625}
{'pid': 11168, 'username': 'ADPROD\\khiray', 'name': 'CiscoCollabHost.exe', 'vms': 5.9296875}
{'pid': 11216, 'username': None, 'name': 'conhost.exe', 'vms': 5.53125}
{'pid': 11232, 'username': None, 'name': 'wa_3rd_party_host_64.exe', 'vms': 72.453125}
